SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
20MICRONS,20 Microns Limited,EQ,06-Oct-08,5,1,INE144J01027,5
360ONE,360 ONE WAM LIMITED,EQ,19-Sep-19,1,1,INE466L01038,1
3BBLACKBIO,3B Blackbio Dx Limited,EQ,20-Apr-26,10,1,INE994E01018,10
5PAISA,5Paisa Capital Limited,EQ,16-Nov-17,10,1,INE618L01018,10
63MOONS,63 moons technologies limited,EQ,20-Jun-05,2,1,INE111B01023,2
AADHARHFC,Aadhar Housing Finance Limited,EQ,15-May-24,10,1,INE883F01010,10
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,EQ,06-Aug-21,10,1,INE198H01019,10
AARTIDRUGS,Aarti Drugs Limited,EQ,19-Sep-03,10,1,INE767A01016,10
AARTIIND,Aarti Industries Limited,EQ,08-Feb-95,5,1,INE769A01020,5
AARTIPHARM,Aarti Pharmalabs Limited,EQ,30-Jan-23,5,1,INE0LRU01027,5
AARVI,Aarvi Encon Limited,EQ,24-Jun-20,10,1,INE754X01016,10
AASTHA,Aastha Spintex Limited,EQ,06-Jul-26,10,1,INE2FMX01012,10
AAVAS,Aavas Financiers Limited,EQ,08-Oct-18,10,1,INE216P01012,10
ABB,ABB India Limited,EQ,08-Feb-95,2,1,INE117A01022,2
ABBOTINDIA,Abbott India Limited,EQ,08-Jan-10,10,1,INE358A01014,10
ABCAPITAL,Aditya Birla Capital Limited,EQ,01-Sep-17,10,1,INE674K01013,10
ABDL,Allied Blenders and Distillers Limited,EQ,02-Jul-24,2,1,INE552Z01027,2
ABFRL,Aditya Birla Fashion and Retail Limited,EQ,17-Jul-13,10,1,INE647O01011,10
ABLBL,Aditya Birla Lifestyle Brands Limited,EQ,23-Jun-25,10,1,INE14LE01019,10
ABREL,Aditya Birla Real Estate Limited,EQ,27-Jun-03,10,1,INE055A01016,10
ABSLAMC,Aditya Birla Sun Life AMC Limited,EQ,11-Oct-21,5,1,INE404A01024,5
ACC,ACC Limited,EQ,20-Nov-96,10,1,INE012A01025,10
ACCELYA,Accelya Solutions India Limited,EQ,01-Dec-99,10,1,INE793A01012,10
ACE,Action Construction Equipment Limited,EQ,26-Sep-06,2,1,INE731H01025,2
ACI,Archean Chemical Industries Limited,EQ,21-Nov-22,2,1,INE128X01021,2
ACMESOLAR,Acme Solar Holdings Limited,EQ,13-Nov-24,2,1,INE622W01025,2
ACSTECH,ACS Technologies Limited,EQ,20-Apr-26,10,1,INE366C01021,10
ACUTAAS,Acutaas Chemicals Limited,EQ,14-Sep-21,5,1,INE00FF01025,5
ADANIENSOL,Adani Energy Solutions Limited,EQ,31-Jul-15,10,1,INE931S01010,10
ADANIENT,Adani Enterprises Limited,EQ,04-Jun-97,1,1,INE423A01024,1
