Cycle,Entry_Timestamp,Exit_Timestamp,Stance,Entry_Spot,Exit_Spot,Long_Strike,Long_Entry_Px,Long_Exit_Px,Short1_Strike,Short1_Entry_Px,Short1_Exit_Px,Short2_Strike,Short2_Entry_Px,Short2_Exit_Px,Net_Cycle_PnL_Pts,Net_Cycle_PnL_Rs,cum_pnl,peak,drawdown
1,2025-11-06 09:20,2025-11-13 15:20,PUT_CALENDAR,25673.15,25881.25,25400,200.0,120.0,25500,50.15,0.0,25200,13.75,0.0,-176.1,-11446.5,-176.1,-176.1,0.0
2,2025-11-18 09:20,2025-11-25 15:20,PUT_CALENDAR,25951.15,25878.35,25700,200.0,120.0,25800,12.1,0.0,25500,1.6,0.0,-226.3,-14709.5,-402.4,-176.1,-226.29999999999998
3,2025-11-27 09:20,2025-12-04 15:20,PUT_CALENDAR,26253.3,26032.5,26000,100.85,120.0,26100,53.25,67.5,25800,15.6,0.0,58.80000000000002,3822.0000000000014,-343.59999999999997,-176.1,-167.49999999999997
4,2025-12-09 09:20,2025-12-16 15:20,PUT_CALENDAR,25803.15,25841.45,25550,200.0,120.0,25650,9.55,0.0,25350,350.0,0.0,119.55000000000001,7770.750000000001,-224.04999999999995,-176.1,-47.94999999999996
5,2025-12-18 09:20,2025-12-26 15:20,PUT_CALENDAR,25777.5,26041.0,25550,200.0,120.0,25650,48.2,0.0,25350,350.0,0.0,158.2,10283.0,-65.84999999999997,-65.84999999999997,0.0
6,2025-12-30 09:20,2026-01-06 15:20,PUT_CALENDAR,25890.55,26184.25,25650,200.0,120.0,25750,50.9,0.0,25450,350.0,0.0,160.9,10458.5,95.05000000000004,95.05000000000004,0.0
7,2026-01-08 09:20,2026-01-16 15:20,PUT_CALENDAR,26108.75,25695.9,25850,71.1,274.09999999999854,25950,30.75,254.09999999999854,25650,350.0,0.0,735.6499999999971,47817.24999999981,830.6999999999972,830.6999999999972,0.0
8,2026-01-20 09:20,2026-01-28 15:20,PUT_CALENDAR,25553.1,25348.1,25300,200.0,120.0,25400,10.1,51.900000000001455,25100,350.0,0.0,68.19999999999857,4432.999999999907,898.8999999999958,898.8999999999958,0.0
9,2026-01-29 09:20,2026-02-04 15:20,PUT_CALENDAR,25261.2,25766.85,25000,200.0,120.0,25100,124.2,0.0,24800,350.0,0.0,234.2,15223.0,1133.0999999999958,1133.0999999999958,0.0
10,2026-02-05 09:20,2026-02-12 15:20,PUT_CALENDAR,25702.2,25807.3,25450,136.95,120.0,25550,82.25,0.0,25250,350.0,0.0,381.40000000000003,24791.000000000004,1514.499999999996,1514.499999999996,0.0
