Cycle_ID,Leg_Role,Entry_Time,Exit_Time,Type,Is_Short,Trade_Type,Option_Symbol,Strike,Strategy,Entry_Price,Exit_Price,Qty,Entry_Spot,Exit_Spot,Leg_PnL_Pts,Leg_PnL_Rs,Exit_Reason
1,MONTHLY_LONG_HEDGE,2025-11-06 09:20,2025-11-13 15:20,PE,False,BUY,NIFTY PE 25700,25700,Strategy_20,176.0,120.0,195,25673.15,25881.25,-168.0,-10920.0,Weekly_Rollover_Rebalance
1,WEEKLY_SHORT_DECAY_1,2025-11-06 09:20,2025-11-13 15:20,PE,True,SELL,NIFTY PE 25750,25750,Strategy_20,136.9,0.0,65,25673.15,25881.25,136.9,8898.5,Weekly_Expiry_Decay
1,WEEKLY_SHORT_DECAY_2,2025-11-06 09:20,2025-11-13 15:20,PE,True,SELL,NIFTY PE 25800,25800,Strategy_20,164.95,0.0,65,25673.15,25881.25,164.95,10721.75,Weekly_Expiry_Decay
2,MONTHLY_LONG_HEDGE,2025-11-18 09:20,2025-11-25 15:20,PE,False,BUY,NIFTY PE 26000,26000,Strategy_20,173.05,241.65000000000143,195,25951.15,25878.35,205.8,13377.0,Weekly_Rollover_Rebalance
2,WEEKLY_SHORT_DECAY_1,2025-11-18 09:20,2025-11-25 15:20,PE,True,SELL,NIFTY PE 25950,25950,Strategy_20,149.1,71.65000000000146,65,25951.15,25878.35,77.45,5034.25,Weekly_Expiry_Decay
2,WEEKLY_SHORT_DECAY_2,2025-11-18 09:20,2025-11-25 15:20,PE,True,SELL,NIFTY PE 26200,26200,Strategy_20,255.1,321.65000000000146,65,25951.15,25878.35,-66.55,-4325.75,Weekly_Expiry_Decay
3,MONTHLY_LONG_HEDGE,2025-11-27 09:20,2025-12-04 15:20,PE,False,BUY,NIFTY PE 26350,26350,Strategy_20,194.75,437.5,195,26253.3,26032.5,728.25,47336.25,Weekly_Rollover_Rebalance
3,WEEKLY_SHORT_DECAY_1,2025-11-27 09:20,2025-12-04 15:20,PE,True,SELL,NIFTY PE 26350,26350,Strategy_20,147.4,317.5,65,26253.3,26032.5,-170.1,-11056.5,Weekly_Expiry_Decay
3,WEEKLY_SHORT_DECAY_2,2025-11-27 09:20,2025-12-04 15:20,PE,True,SELL,NIFTY PE 26500,26500,Strategy_20,246.7,467.5,65,26253.3,26032.5,-220.8,-14352.0,Weekly_Expiry_Decay
4,MONTHLY_LONG_HEDGE,2025-12-09 09:20,2025-12-16 15:20,PE,False,BUY,NIFTY PE 25950,25950,Strategy_20,195.0,228.54999999999927,195,25803.15,25841.45,100.65,6542.25,Weekly_Rollover_Rebalance
4,WEEKLY_SHORT_DECAY_1,2025-12-09 09:20,2025-12-16 15:20,PE,True,SELL,NIFTY PE 25950,25950,Strategy_20,152.75,108.54999999999929,65,25803.15,25841.45,44.2,2873.0,Weekly_Expiry_Decay
4,WEEKLY_SHORT_DECAY_2,2025-12-09 09:20,2025-12-16 15:20,PE,True,SELL,NIFTY PE 26150,26150,Strategy_20,338.0,308.5499999999993,65,25803.15,25841.45,29.45,1914.25,Weekly_Expiry_Decay
5,MONTHLY_LONG_HEDGE,2025-12-18 09:20,2025-12-26 15:20,PE,False,BUY,NIFTY PE 25900,25900,Strategy_20,191.3,120.0,195,25777.5,26041.0,-213.9,-13903.5,Weekly_Rollover_Rebalance
5,WEEKLY_SHORT_DECAY_1,2025-12-18 09:20,2025-12-26 15:20,PE,True,SELL,NIFTY PE 25900,25900,Strategy_20,160.7,0.0,65,25777.5,26041.0,160.7,10445.5,Weekly_Expiry_Decay
5,WEEKLY_SHORT_DECAY_2,2025-12-18 09:20,2025-12-26 15:20,PE,True,SELL,NIFTY PE 26000,26000,Strategy_20,231.7,0.0,65,25777.5,26041.0,231.7,15060.5,Weekly_Expiry_Decay
6,MONTHLY_LONG_HEDGE,2025-12-30 09:20,2026-01-06 15:20,PE,False,BUY,NIFTY PE 26050,26050,Strategy_20,184.15,120.0,195,25890.55,26184.25,-192.45,-12509.25,Weekly_Rollover_Rebalance
6,WEEKLY_SHORT_DECAY_1,2025-12-30 09:20,2026-01-06 15:20,PE,True,SELL,NIFTY PE 26000,26000,Strategy_20,153.15,0.0,65,25890.55,26184.25,153.15,9954.75,Weekly_Expiry_Decay
6,WEEKLY_SHORT_DECAY_2,2025-12-30 09:20,2026-01-06 15:20,PE,True,SELL,NIFTY PE 26200,26200,Strategy_20,306.65,15.75,65,25890.55,26184.25,290.9,18908.5,Weekly_Expiry_Decay
7,MONTHLY_LONG_HEDGE,2026-01-08 09:20,2026-01-16 15:20,PE,False,BUY,NIFTY PE 26200,26200,Strategy_20,169.1,624.0999999999985,195,26108.75,25695.9,1365.0,88725.0,Weekly_Rollover_Rebalance
7,WEEKLY_SHORT_DECAY_1,2026-01-08 09:20,2026-01-16 15:20,PE,True,SELL,NIFTY PE 26200,26200,Strategy_20,134.2,504.09999999999854,65,26108.75,25695.9,-369.9,-24043.5,Weekly_Expiry_Decay
7,WEEKLY_SHORT_DECAY_2,2026-01-08 09:20,2026-01-16 15:20,PE,True,SELL,NIFTY PE 26200,26200,Strategy_20,134.2,504.09999999999854,65,26108.75,25695.9,-369.9,-24043.5,Weekly_Expiry_Decay
8,MONTHLY_LONG_HEDGE,2026-01-20 09:20,2026-01-28 15:20,PE,False,BUY,NIFTY PE 25750,25750,Strategy_20,208.0,521.9000000000015,195,25553.1,25348.1,941.7,61210.5,Weekly_Rollover_Rebalance
8,WEEKLY_SHORT_DECAY_1,2026-01-20 09:20,2026-01-28 15:20,PE,True,SELL,NIFTY PE 25600,25600,Strategy_20,159.0,251.90000000000143,65,25553.1,25348.1,-92.9,-6038.5,Weekly_Expiry_Decay
8,WEEKLY_SHORT_DECAY_2,2026-01-20 09:20,2026-01-28 15:20,PE,True,SELL,NIFTY PE 25800,25800,Strategy_20,254.55,451.9000000000015,65,25553.1,25348.1,-197.35,-12827.75,Weekly_Expiry_Decay
9,MONTHLY_LONG_HEDGE,2026-01-29 09:20,2026-02-04 15:20,PE,False,BUY,NIFTY PE 25200,25200,Strategy_20,213.0,120.0,195,25261.2,25766.85,-279.0,-18135.0,Weekly_Rollover_Rebalance
9,WEEKLY_SHORT_DECAY_1,2026-01-29 09:20,2026-02-04 15:20,PE,True,SELL,NIFTY PE 25150,25150,Strategy_20,141.35,0.0,65,25261.2,25766.85,141.35,9187.75,Weekly_Expiry_Decay
9,WEEKLY_SHORT_DECAY_2,2026-01-29 09:20,2026-02-04 15:20,PE,True,SELL,NIFTY PE 25500,25500,Strategy_20,320.4,0.0,65,25261.2,25766.85,320.4,20826.0,Weekly_Expiry_Decay
10,MONTHLY_LONG_HEDGE,2026-02-05 09:20,2026-02-12 15:20,PE,False,BUY,NIFTY PE 25700,25700,Strategy_20,194.7,120.0,195,25702.2,25807.3,-224.1,-14566.5,Weekly_Rollover_Rebalance
10,WEEKLY_SHORT_DECAY_1,2026-02-05 09:20,2026-02-12 15:20,PE,True,SELL,NIFTY PE 25700,25700,Strategy_20,139.6,0.0,65,25702.2,25807.3,139.6,9074.0,Weekly_Expiry_Decay
10,WEEKLY_SHORT_DECAY_2,2026-02-05 09:20,2026-02-12 15:20,PE,True,SELL,NIFTY PE 25800,25800,Strategy_20,192.8,0.0,65,25702.2,25807.3,192.8,12532.0,Weekly_Expiry_Decay
11,MONTHLY_LONG_HEDGE,2026-02-17 09:20,2026-02-24 15:20,PE,False,BUY,NIFTY PE 25650,25650,Strategy_20,195.4,331.0499999999993,195,25580.45,25438.95,406.95,26451.75,Weekly_Rollover_Rebalance
