Cycle,Entry_Timestamp,Exit_Timestamp,Stance,Entry_Spot,Exit_Spot,Long_Strike,Long_Entry_Px,Long_Exit_Px,Short1_Strike,Short1_Entry_Px,Short1_Exit_Px,Short2_Strike,Short2_Entry_Px,Short2_Exit_Px,Net_Cycle_PnL_Pts,Net_Cycle_PnL_Rs,cum_pnl,peak,drawdown
1,2025-11-06 09:20,2025-11-13 15:20,CALL_CALENDAR,25673.15,25881.25,25600,199.15,401.25,25700,138.55,181.25,25400,356.45,481.25,438.7999999999999,28521.999999999993,438.7999999999999,438.7999999999999,0.0
2,2025-11-18 09:20,2025-11-25 15:20,CALL_CALENDAR,25951.15,25878.35,25950,187.55,120.0,26000,160.65,0.0,25700,353.65,178.34999999999854,133.3000000000014,8664.500000000091,572.1000000000013,572.1000000000013,0.0
3,2025-11-27 09:20,2025-12-04 15:20,CALL_CALENDAR,26253.3,26032.5,26300,211.65,120.0,26250,144.55,0.0,26000,329.3,32.5,166.39999999999998,10815.999999999998,738.5000000000013,738.5000000000013,0.0
4,2025-12-09 09:20,2025-12-16 15:20,CALL_CALENDAR,25803.15,25841.45,25800,188.05,161.45000000000073,25850,160.4,0.0,25600,286.55,241.45000000000073,125.70000000000144,8170.500000000094,864.2000000000027,864.2000000000027,0.0
5,2025-12-18 09:20,2025-12-26 15:20,CALL_CALENDAR,25777.5,26041.0,25800,194.35,361.0,25750,141.4,291.0,25600,245.25,441.0,154.60000000000002,10049.000000000002,1018.8000000000027,1018.8000000000027,0.0
6,2025-12-30 09:20,2026-01-06 15:20,CALL_CALENDAR,25890.55,26184.25,25900,143.0,404.25,25900,143.0,284.25,25700,279.85,484.25,438.1,28476.5,1456.9000000000028,1456.9000000000028,0.0
7,2026-01-08 09:20,2026-01-16 15:20,CALL_CALENDAR,26108.75,25695.9,26100,185.0,120.0,26000,166.55,0.0,25800,334.3,0.0,305.85,19880.25,1762.7500000000027,1762.7500000000027,0.0
8,2026-01-20 09:20,2026-01-28 15:20,CALL_CALENDAR,25553.1,25348.1,25500,193.8,120.0,25600,137.15,0.0,25200,415.15,148.09999999999854,182.8000000000014,11882.000000000091,1945.550000000004,1945.550000000004,0.0
9,2026-01-29 09:20,2026-02-04 15:20,CALL_CALENDAR,25261.2,25766.85,25400,226.9,486.84999999999854,25400,146.85,366.84999999999854,25000,381.85,766.8499999999985,174.84999999999866,11365.249999999913,2120.400000000003,2120.400000000003,0.0
10,2026-02-05 09:20,2026-02-12 15:20,CALL_CALENDAR,25702.2,25807.3,25750,206.55,177.29999999999927,25700,151.85,107.29999999999927,25400,357.9,407.2999999999993,-92.60000000000079,-6019.000000000051,2027.800000000002,2120.400000000003,-92.60000000000082
11,2026-02-17 09:20,2026-02-24 15:20,CALL_CALENDAR,25580.45,25438.95,25550,189.45,120.0,25600,161.0,0.0,25600,161.0,0.0,113.65000000000003,7387.250000000002,2141.450000000002,2141.450000000002,0.0
12,2026-02-26 09:20,2026-03-06 15:20,CALL_CALENDAR,25532.15,24453.05,25600,217.25,120.0,25500,163.35,0.0,25250,350.25,0.0,221.85,14420.25,2363.300000000002,2363.300000000002,0.0
13,2026-03-10 09:20,2026-03-17 15:20,CALL_CALENDAR,24159.4,23574.95,24300,260.9,120.0,24050,161.0,0.0,23800,372.95,0.0,111.25000000000006,7231.250000000004,2474.550000000002,2474.550000000002,0.0
