Cycle,Entry_Timestamp,Exit_Timestamp,Stance,Entry_Spot,Exit_Spot,Long_Strike,Long_Entry_Px,Long_Exit_Px,Short1_Strike,Short1_Entry_Px,Short1_Exit_Px,Short2_Strike,Short2_Entry_Px,Short2_Exit_Px,Net_Cycle_PnL_Pts,Net_Cycle_PnL_Rs,cum_pnl,peak,drawdown
1,2025-11-06 09:20,2025-11-13 15:20,PUT_CALENDAR,25673.15,25881.25,25700,176.0,120.0,25750,136.9,0.0,25800,164.95,0.0,133.85,8700.25,133.85,133.85,0.0
2,2025-11-18 09:20,2025-11-25 15:20,PUT_CALENDAR,25951.15,25878.35,26000,173.05,241.65000000000146,25950,149.1,71.65000000000146,26200,255.1,321.65000000000146,216.70000000000138,14085.50000000009,350.5500000000014,350.5500000000014,0.0
3,2025-11-27 09:20,2025-12-04 15:20,PUT_CALENDAR,26253.3,26032.5,26350,194.75,437.5,26350,147.4,317.5,26500,246.7,467.5,337.34999999999997,21927.749999999996,687.9000000000013,687.9000000000013,0.0
4,2025-12-09 09:20,2025-12-16 15:20,PUT_CALENDAR,25803.15,25841.45,25950,195.0,228.54999999999927,25950,152.75,108.54999999999927,26150,338.0,308.5499999999993,174.29999999999927,11329.499999999953,862.2000000000006,862.2000000000006,0.0
5,2025-12-18 09:20,2025-12-26 15:20,PUT_CALENDAR,25777.5,26041.0,25900,191.3,120.0,25900,160.7,0.0,26000,231.7,0.0,178.49999999999994,11602.499999999996,1040.7000000000005,1040.7000000000005,0.0
6,2025-12-30 09:20,2026-01-06 15:20,PUT_CALENDAR,25890.55,26184.25,26050,184.15,120.0,26000,153.15,0.0,26200,306.65,15.75,251.59999999999997,16353.999999999998,1292.3000000000004,1292.3000000000004,0.0
7,2026-01-08 09:20,2026-01-16 15:20,PUT_CALENDAR,26108.75,25695.9,26200,169.1,624.0999999999985,26200,134.2,504.09999999999854,26200,134.2,504.09999999999854,625.1999999999985,40637.9999999999,1917.4999999999989,1917.4999999999989,0.0
8,2026-01-20 09:20,2026-01-28 15:20,PUT_CALENDAR,25553.1,25348.1,25750,208.0,521.9000000000015,25600,159.0,251.90000000000146,25800,254.55,451.90000000000146,651.4500000000014,42344.250000000095,2568.9500000000003,2568.9500000000003,0.0
9,2026-01-29 09:20,2026-02-04 15:20,PUT_CALENDAR,25261.2,25766.85,25200,213.0,120.0,25150,141.35,0.0,25500,320.4,0.0,182.74999999999997,11878.749999999998,2751.7000000000003,2751.7000000000003,0.0
10,2026-02-05 09:20,2026-02-12 15:20,PUT_CALENDAR,25702.2,25807.3,25700,194.7,120.0,25700,139.6,0.0,25800,192.8,0.0,108.30000000000004,7039.500000000003,2860.0000000000005,2860.0000000000005,0.0
11,2026-02-17 09:20,2026-02-24 15:20,PUT_CALENDAR,25580.45,25438.95,25650,195.4,331.0499999999993,25550,149.0,111.04999999999927,25900,360.0,461.0499999999993,343.8499999999992,22350.24999999995,3203.8499999999995,3203.8499999999995,0.0
12,2026-02-26 09:20,2026-03-06 15:20,PUT_CALENDAR,25532.15,24453.05,25550,197.7,1216.9500000000007,25600,149.55,1146.9500000000007,25950,400.6,1496.9500000000007,964.0000000000005,62660.00000000003,4167.85,4167.85,0.0
13,2026-03-10 09:20,2026-03-17 15:20,PUT_CALENDAR,24159.4,23574.95,23900,249.5,445.0499999999993,23900,249.5,325.0499999999993,24300,375.65,725.0499999999993,161.69999999999925,10510.49999999995,4329.549999999999,4329.549999999999,0.0
14,2026-03-19 09:20,2026-03-27 15:20,PUT_CALENDAR,23280.4,22819.0,23050,257.55,351.0,23050,151.35,231.0,23600,427.0,781.0,-153.30000000000004,-9964.500000000002,4176.249999999999,4329.549999999999,-153.30000000000018
15,2026-04-02 09:20,2026-04-10 15:20,PUT_CALENDAR,22229.2,24057.6,22000,385.95,120.0,21850,155.0,0.0,22550,464.7,0.0,-178.14999999999992,-11579.749999999995,3998.099999999999,4329.549999999999,-331.4500000000003
16,2026-04-16 09:20,2026-04-23 15:20,PUT_CALENDAR,24388.0,24170.55,24100,194.55,120.0,24250,144.65,79.45000000000073,24500,260.4,329.4500000000007,-227.5000000000015,-14787.500000000098,3770.5999999999976,4329.549999999999,-558.9500000000016
17,2026-04-28 09:20,2026-05-06 15:20,PUT_CALENDAR,24098.25,24321.7,24050,209.4,120.0,23900,149.45,0.0,24400,403.15,78.29999999999927,206.10000000000065,13396.500000000042,3976.6999999999985,4329.549999999999,-352.8500000000008
18,2026-05-07 09:20,2026-05-14 15:20,PUT_CALENDAR,24317.9,23681.6,24200,205.05,638.4000000000015,24250,140.0,568.4000000000015,24600,338.55,918.4000000000015,291.8000000000013,18967.000000000087,4268.5,4329.549999999999,-61.04999999999927
19,2026-05-19 09:20,2026-05-26 15:20,PUT_CALENDAR,23734.35,23912.85,23600,192.45,120.0,23500,156.9,0.0,24000,390.25,87.15000000000146,242.64999999999858,15772.249999999907,4511.149999999999,4511.149999999999,0.0
20,2026-06-02 09:20,2026-06-09 15:20,PUT_CALENDAR,23287.1,23233.1,23350,207.35,236.90000000000146,23200,142.55,0.0,23650,360.0,416.90000000000146,174.30000000000294,11329.500000000191,4685.450000000002,4685.450000000002,0.0
21,2026-06-11 09:20,2026-06-18 15:20,PUT_CALENDAR,23126.9,24177.8,22900,192.75,120.0,23100,150.5,0.0,23500,413.15,0.0,345.4,22451.0,5030.850000000001,5030.850000000001,0.0
22,2026-06-23 09:20,2026-07-01 15:20,PUT_CALENDAR,24090.6,23995.15,24200,200.85,324.84999999999854,24100,145.55,104.84999999999854,24200,200.85,204.84999999999854,408.69999999999857,26565.499999999905,5439.55,5439.55,0.0
23,2026-07-02 09:20,2026-07-09 15:20,PUT_CALENDAR,24105.9,23961.1,24150,203.2,308.90000000000146,24150,140.25,188.90000000000146,24200,165.6,238.90000000000146,195.15000000000148,12684.750000000096,5634.700000000002,5634.700000000002,0.0
24,2026-07-14 09:20,2026-07-21 15:20,PUT_CALENDAR,24121.4,24186.75,24150,204.45,120.0,24250,156.1,63.25,24250,260.3,63.25,36.55000000000004,2375.7500000000027,5671.250000000002,5671.250000000002,0.0
