Cycle,Leg,Entry_Timestamp,Exit_Timestamp,Action,Contract_Symbol,Strike,Qty_Traded,Entry_Spot_Price,Exit_Spot_Price,Entry_Contract_Price,Exit_Contract_Price,Leg_PnL_Points,Leg_PnL_Rupees,How_To_Cross_Verify
1,MONTHLY_LONG_HEDGE,06/11/2025 09:20,13/11/2025 15:20,BUY,NIFTY PE 25700,25700,195,25673.15,25881.25,176,120,-168,-10920,Step 1: Check Nifty Spot on 2025-11-06 09:20 = 25673.15. Step 2: Check NIFTY PE 25700 price on 2025-11-06 09:20 = 176.0. Step 3: Check NIFTY PE 25700 price on 2025-11-13 15:20 = 120.0. Step 4: PnL = (120.0 - 176.0) * 195 = ₹-10920.0.
1,WEEKLY_SHORT_DECAY_1,06/11/2025 09:20,13/11/2025 15:20,SELL,NIFTY PE 25750,25750,65,25673.15,25881.25,136.9,0,136.9,8898.5,Step 1: Check Nifty Spot on 2025-11-06 09:20 = 25673.15. Step 2: Check NIFTY PE 25750 price on 2025-11-06 09:20 = 136.9. Step 3: Check NIFTY PE 25750 price on 2025-11-13 15:20 = 0.0. Step 4: PnL = (0.0 - 136.9) * 65 = ₹8898.5.
1,WEEKLY_SHORT_DECAY_2,06/11/2025 09:20,13/11/2025 15:20,SELL,NIFTY PE 25800,25800,65,25673.15,25881.25,164.95,0,164.95,10721.75,Step 1: Check Nifty Spot on 2025-11-06 09:20 = 25673.15. Step 2: Check NIFTY PE 25800 price on 2025-11-06 09:20 = 164.95. Step 3: Check NIFTY PE 25800 price on 2025-11-13 15:20 = 0.0. Step 4: PnL = (0.0 - 164.95) * 65 = ₹10721.75.
2,MONTHLY_LONG_HEDGE,18/11/2025 09:20,25/11/2025 15:20,BUY,NIFTY PE 26000,26000,195,25951.15,25878.35,173.05,241.65,205.8,13377,Step 1: Check Nifty Spot on 2025-11-18 09:20 = 25951.15. Step 2: Check NIFTY PE 26000 price on 2025-11-18 09:20 = 173.05. Step 3: Check NIFTY PE 26000 price on 2025-11-25 15:20 = 241.65000000000143. Step 4: PnL = (241.65000000000143 - 173.05) * 195 = ₹13377.0.
2,WEEKLY_SHORT_DECAY_1,18/11/2025 09:20,25/11/2025 15:20,SELL,NIFTY PE 25950,25950,65,25951.15,25878.35,149.1,71.65,77.45,5034.25,Step 1: Check Nifty Spot on 2025-11-18 09:20 = 25951.15. Step 2: Check NIFTY PE 25950 price on 2025-11-18 09:20 = 149.1. Step 3: Check NIFTY PE 25950 price on 2025-11-25 15:20 = 71.65000000000146. Step 4: PnL = (71.65000000000146 - 149.1) * 65 = ₹5034.25.
2,WEEKLY_SHORT_DECAY_2,18/11/2025 09:20,25/11/2025 15:20,SELL,NIFTY PE 26200,26200,65,25951.15,25878.35,255.1,321.65,-66.55,-4325.75,Step 1: Check Nifty Spot on 2025-11-18 09:20 = 25951.15. Step 2: Check NIFTY PE 26200 price on 2025-11-18 09:20 = 255.1. Step 3: Check NIFTY PE 26200 price on 2025-11-25 15:20 = 321.65000000000146. Step 4: PnL = (321.65000000000146 - 255.1) * 65 = ₹-4325.75.
3,MONTHLY_LONG_HEDGE,27/11/2025 09:20,04/12/2025 15:20,BUY,NIFTY PE 26350,26350,195,26253.3,26032.5,194.75,437.5,728.25,47336.25,Step 1: Check Nifty Spot on 2025-11-27 09:20 = 26253.3. Step 2: Check NIFTY PE 26350 price on 2025-11-27 09:20 = 194.75. Step 3: Check NIFTY PE 26350 price on 2025-12-04 15:20 = 437.5. Step 4: PnL = (437.5 - 194.75) * 195 = ₹47336.25.
3,WEEKLY_SHORT_DECAY_1,27/11/2025 09:20,04/12/2025 15:20,SELL,NIFTY PE 26350,26350,65,26253.3,26032.5,147.4,317.5,-170.1,-11056.5,Step 1: Check Nifty Spot on 2025-11-27 09:20 = 26253.3. Step 2: Check NIFTY PE 26350 price on 2025-11-27 09:20 = 147.4. Step 3: Check NIFTY PE 26350 price on 2025-12-04 15:20 = 317.5. Step 4: PnL = (317.5 - 147.4) * 65 = ₹-11056.5.
3,WEEKLY_SHORT_DECAY_2,27/11/2025 09:20,04/12/2025 15:20,SELL,NIFTY PE 26500,26500,65,26253.3,26032.5,246.7,467.5,-220.8,-14352,Step 1: Check Nifty Spot on 2025-11-27 09:20 = 26253.3. Step 2: Check NIFTY PE 26500 price on 2025-11-27 09:20 = 246.7. Step 3: Check NIFTY PE 26500 price on 2025-12-04 15:20 = 467.5. Step 4: PnL = (467.5 - 246.7) * 65 = ₹-14352.0.
4,MONTHLY_LONG_HEDGE,09/12/2025 09:20,16/12/2025 15:20,BUY,NIFTY PE 25950,25950,195,25803.15,25841.45,195,228.55,100.65,6542.25,Step 1: Check Nifty Spot on 2025-12-09 09:20 = 25803.15. Step 2: Check NIFTY PE 25950 price on 2025-12-09 09:20 = 195.0. Step 3: Check NIFTY PE 25950 price on 2025-12-16 15:20 = 228.54999999999927. Step 4: PnL = (228.54999999999927 - 195.0) * 195 = ₹6542.25.
