Cycle,Entry_Timestamp,Exit_Timestamp,Stance,Entry_Spot,Exit_Spot,Long_Leg_Buy_3_Lots,Long_Entry_Px,Long_Exit_Px,Long_PnL_Pts,Short_Leg1_Sell_1_Lot,Short1_Entry_Px,Short1_Exit_Px,Short1_PnL_Pts,Short_Leg2_Sell_1_Lot,Short2_Entry_Px,Short2_Exit_Px,Short2_PnL_Pts,Net_Cycle_PnL_Pts,Net_Cycle_PnL_Rs_Per_Lot
1,06/11/2025 09:20,13/11/2025 15:20,PUT_CALENDAR,25673.15,25881.25,NIFTY 04DEC2025 25400 PE,200,120,-240,NIFTY 10NOV2025 25500 PE,150,0,150,NIFTY 10NOV2025 25200 PE,350,0,350,260,16900
2,18/11/2025 09:20,25/11/2025 15:20,PUT_CALENDAR,25951.15,25878.35,NIFTY 16DEC2025 25700 PE,200,120,-240,NIFTY 25NOV2025 25800 PE,150,0,150,NIFTY 25NOV2025 25500 PE,350,0,350,260,16900
3,27/11/2025 09:20,04/12/2025 15:20,PUT_CALENDAR,26253.3,26032.5,NIFTY 25DEC2025 26000 PE,200,120,-240,NIFTY 01DEC2025 26100 PE,150,67.5,82.5,NIFTY 01DEC2025 25800 PE,350,0,350,192.5,12512.5
4,09/12/2025 09:20,16/12/2025 15:20,PUT_CALENDAR,25803.15,25841.45,NIFTY 06JAN2026 25550 PE,200,120,-240,NIFTY 16DEC2025 25650 PE,150,0,150,NIFTY 16DEC2025 25350 PE,350,0,350,260,16900
5,18/12/2025 09:20,26/12/2025 15:20,PUT_CALENDAR,25777.5,26041,NIFTY 15JAN2026 25550 PE,200,120,-240,NIFTY 22DEC2025 25650 PE,150,0,150,NIFTY 22DEC2025 25350 PE,350,0,350,260,16900
6,30/12/2025 09:20,06/01/2026 15:20,PUT_CALENDAR,25890.55,26184.25,NIFTY 27JAN2026 25650 PE,200,120,-240,NIFTY 06JAN2026 25750 PE,150,0,150,NIFTY 06JAN2026 25450 PE,350,0,350,260,16900
7,08/01/2026 09:20,16/01/2026 15:20,PUT_CALENDAR,26108.75,25695.9,NIFTY 05FEB2026 25850 PE,200,274.1,222.3,NIFTY 12JAN2026 25950 PE,150,254.1,-104.1,NIFTY 12JAN2026 25650 PE,350,0,350,468.2,30433
8,20/01/2026 09:20,28/01/2026 15:20,PUT_CALENDAR,25553.1,25348.1,NIFTY 17FEB2026 25300 PE,200,120,-240,NIFTY 27JAN2026 25400 PE,150,51.9,98.1,NIFTY 27JAN2026 25100 PE,350,0,350,208.1,13526.5
9,29/01/2026 09:20,04/02/2026 15:20,PUT_CALENDAR,25261.2,25766.85,NIFTY 26FEB2026 25000 PE,200,120,-240,NIFTY 02FEB2026 25100 PE,150,0,150,NIFTY 02FEB2026 24800 PE,350,0,350,260,16900
10,05/02/2026 09:20,12/02/2026 15:20,PUT_CALENDAR,25702.2,25807.3,NIFTY 05MAR2026 25450 PE,200,120,-240,NIFTY 09FEB2026 25550 PE,150,0,150,NIFTY 09FEB2026 25250 PE,350,0,350,260,16900
11,17/02/2026 09:20,24/02/2026 15:20,PUT_CALENDAR,25580.45,25438.95,NIFTY 17MAR2026 25350 PE,200,120,-240,NIFTY 24FEB2026 25450 PE,150,11.05,138.95,NIFTY 24FEB2026 25150 PE,350,0,350,248.95,16181.75
12,26/02/2026 09:20,06/03/2026 15:20,PUT_CALENDAR,25532.15,24453.05,NIFTY 26MAR2026 25300 PE,200,966.95,2300.85,NIFTY 02MAR2026 25400 PE,150,946.95,-796.95,NIFTY 02MAR2026 25100 PE,350,646.95,-296.95,1206.95,78451.75
13,10/03/2026 09:20,17/03/2026 15:20,PUT_CALENDAR,24159.4,23574.95,NIFTY 07APR2026 23900 PE,200,445.05,735.15,NIFTY 17MAR2026 24000 PE,150,425.05,-275.05,NIFTY 17MAR2026 23700 PE,350,125.05,224.95,685.05,44528.25
14,19/03/2026 09:20,27/03/2026 15:20,PUT_CALENDAR,23280.4,22819,NIFTY 16APR2026 23050 PE,200,351,453,NIFTY 23MAR2026 23150 PE,150,331,-181,NIFTY 23MAR2026 22850 PE,350,31,319,591,38415
15,02/04/2026 09:20,10/04/2026 15:20,PUT_CALENDAR,22229.2,24057.6,NIFTY 30APR2026 22000 PE,200,120,-240,NIFTY 06APR2026 22100 PE,150,0,150,NIFTY 06APR2026 21800 PE,350,0,350,260,16900
16,16/04/2026 09:20,23/04/2026 15:20,PUT_CALENDAR,24388,24170.55,NIFTY 14MAY2026 24150 PE,200,120,-240,NIFTY 20APR2026 24250 PE,150,79.45,70.55,NIFTY 20APR2026 23950 PE,350,0,350,180.55,11735.75
17,28/04/2026 09:20,06/05/2026 15:20,PUT_CALENDAR,24098.25,24321.7,NIFTY 26MAY2026 23850 PE,200,120,-240,NIFTY 05MAY2026 23950 PE,150,0,150,NIFTY 05MAY2026 23650 PE,350,0,350,260,16900
18,07/05/2026 09:20,14/05/2026 15:20,PUT_CALENDAR,24317.9,23681.6,NIFTY 04JUN2026 24050 PE,200,488.4,865.2,NIFTY 11MAY2026 24150 PE,150,468.4,-318.4,NIFTY 11MAY2026 23850 PE,350,168.4,181.6,728.4,47346
19,19/05/2026 09:20,26/05/2026 15:20,PUT_CALENDAR,23734.35,23912.85,NIFTY 16JUN2026 23500 PE,200,120,-240,NIFTY 26MAY2026 23600 PE,150,0,150,NIFTY 26MAY2026 23300 PE,350,0,350,260,16900
20,02/06/2026 09:20,09/06/2026 15:20,PUT_CALENDAR,23287.1,23233.1,NIFTY 30JUN2026 23050 PE,200,120,-240,NIFTY 09JUN2026 23150 PE,150,0,150,NIFTY 09JUN2026 22850 PE,350,0,350,260,16900
21,11/06/2026 09:20,18/06/2026 15:20,PUT_CALENDAR,23126.9,24177.8,NIFTY 09JUL2026 22900 PE,200,120,-240,NIFTY 15JUN2026 23000 PE,150,0,150,NIFTY 15JUN2026 22700 PE,350,0,350,260,16900
22,23/06/2026 09:20,01/07/2026 15:20,PUT_CALENDAR,24090.6,23995.15,NIFTY 21JUL2026 23850 PE,200,120,-240,NIFTY 30JUN2026 23950 PE,150,0,150,NIFTY 30JUN2026 23650 PE,350,0,350,260,16900
23,02/07/2026 09:20,09/07/2026 15:20,PUT_CALENDAR,24105.9,23961.1,NIFTY 30JUL2026 23850 PE,200,120,-240,NIFTY 06JUL2026 23950 PE,150,0,150,NIFTY 06JUL2026 23650 PE,350,0,350,260,16900
24,14/07/2026 09:20,21/07/2026 15:20,PUT_CALENDAR,24121.4,24186.75,NIFTY 11AUG2026 23850 PE,200,120,-240,NIFTY 21JUL2026 23950 PE,150,0,150,NIFTY 21JUL2026 23650 PE,350,0,350,260,16900
