Instrument,Trades,Win Rate (%),Profit Factor,Gross PnL (Rs.),Charges (Rs.),Net PnL (Rs.),Avg PnL/Trade,Max Win,Max Loss,Max Drawdown (Rs.),Robustness Score
IDEA,1,100.0,999.0,332358.75,405.85,331952.9,331952.9,331952.9,331952.9,0.0,11065.097
CDSL,450,41.1,1.3,768146.25,134199.33,633946.92,1408.77,54947.93,-18788.75,92890.18,6.825
PGEL,263,41.8,1.34,854002.5,69634.94,784367.56,2982.39,49583.56,-38289.84,148660.41,5.276
RVNL,138,42.8,1.45,898453.75,34422.52,864031.23,6261.1,83941.7,-37729.92,214216.34,4.033
BSE,856,40.7,1.21,974662.5,269455.59,705206.91,823.84,83025.86,-56329.49,212836.05,3.313
IRCTC,391,39.6,1.22,841093.75,115832.22,725261.53,1854.89,63492.2,-33323.62,220330.21,3.292
PAYTM,635,39.4,1.17,981287.5,178880.85,802406.65,1263.63,68088.83,-106932.73,270452.75,2.967
SBIN,246,39.4,1.2,425287.5,62973.96,362313.54,1472.82,34780.32,-45624.31,142512.27,2.542
BANKINDIA,18,50.0,2.12,743860.0,4585.94,739274.06,41070.78,155816.38,-82995.76,189441.66,2.341
JSWENERGY,292,37.7,1.16,538650.0,64905.16,473744.84,1622.41,64919.03,-32946.95,207102.48,2.287
LODHA,731,39.1,1.15,652342.5,155186.76,497155.74,680.1,31735.91,-29907.39,231487.07,2.148
CANBK,11,72.7,4.82,1177875.0,3595.2,1174279.8,106752.71,201985.24,-103534.59,203898.82,2.112
LTF,27,44.4,1.51,273375.0,5802.3,267572.7,9910.1,67584.08,-45493.55,136366.16,1.766
PNBHOUSING,500,37.4,1.1,454057.5,115779.33,338278.17,676.56,64630.73,-30708.02,195277.02,1.732
CAMS,411,38.0,1.15,558750.0,98192.08,460557.92,1120.58,40717.59,-27256.55,285774.93,1.612
BIOCON,107,40.2,1.26,689000.0,38125.95,650874.05,6082.94,74640.71,-54751.57,429744.4,1.515
INDHOTEL,216,38.0,1.14,353750.0,56754.2,296995.8,1374.98,66316.79,-40173.0,202310.15,1.468
BHEL,66,40.9,1.28,467118.75,18946.06,448172.69,6790.5,84857.52,-55883.45,313328.06,1.43
FEDERALBNK,17,52.9,1.96,304000.0,4127.96,299872.04,17639.53,76225.57,-47591.84,124983.66,1.36
LAURUSLABS,338,36.7,1.11,395717.5,90933.57,304783.93,901.73,52903.01,-20022.46,233800.34,1.304
NYKAA,70,38.6,1.18,400625.0,22477.73,378147.27,5402.1,93387.06,-54914.02,336258.01,1.125
KPITTECH,829,36.9,1.05,377038.75,189347.08,187691.67,226.41,29683.4,-20837.89,176024.45,1.066
IEX,82,40.2,1.18,617812.5,51234.81,566577.69,6909.48,160069.64,-298889.63,534369.4,1.06
HUDCO,58,39.7,1.23,363525.0,15430.62,348094.38,6001.63,103816.06,-56950.49,339126.65,1.026
BANDHANBNK,57,40.4,1.25,511380.0,21612.76,489767.24,8592.41,136712.63,-91775.92,482045.97,1.016
TATAPOWER,96,39.6,1.21,306457.5,21751.08,284706.42,2965.69,49089.82,-45537.87,280159.27,1.016
TMPV,295,35.9,1.12,372800.0,72639.15,300160.85,1017.49,229451.65,-29977.22,316810.87,0.947
WIPRO,39,41.0,1.3,337350.0,12929.83,324420.17,8318.47,95848.43,-57955.37,345393.6,0.939
BPCL,59,39.0,1.17,210238.75,14685.07,195553.68,3314.47,75134.29,-41512.88,210285.2,0.93
PATANJALI,163,37.4,1.12,215775.0,34623.04,181151.96,1111.36,71540.23,-84278.57,208532.24,0.869
CGPOWER,252,36.9,1.12,308422.5,60235.59,248186.91,984.87,57832.54,-35968.29,292855.96,0.847
HINDPETRO,125,36.8,1.13,368955.0,37705.0,331250.0,2650.0,87026.61,-41307.33,419078.02,0.79
DLF,317,36.0,1.05,219945.0,77714.52,142230.48,448.68,38243.72,-24093.88,206836.13,0.688
ANGELONE,110,35.5,1.07,214750.0,30199.32,184550.68,1677.73,85730.66,-74638.68,275698.33,0.669
ETERNAL,57,38.6,1.21,297062.5,13585.67,283476.83,4973.28,84014.99,-60909.42,424944.92,0.667
CROMPTON,123,35.8,1.09,234090.0,35813.18,198276.82,1612.01,80552.6,-46619.56,302370.81,0.656
BEL,71,36.6,1.1,121267.5,14918.58,106348.92,1497.87,74341.02,-42593.71,174019.86,0.611
ONGC,42,38.1,1.16,159075.0,10102.92,148972.08,3546.95,73573.75,-40155.09,274767.43,0.542
BDL,698,36.5,1.03,218732.5,140846.65,77885.85,111.58,28755.46,-28257.5,146207.95,0.533
INOXWIND,36,38.9,1.17,210210.0,8608.15,201601.85,5600.05,117038.42,-70477.54,379693.15,0.531
GMRAIRPORT,5,60.0,2.58,333056.25,1250.87,331805.38,66361.08,208680.54,-105260.29,105260.29,0.525
POWERGRID,34,38.2,1.2,130055.0,7782.86,122272.14,3596.24,66894.46,-29961.66,254111.22,0.481
HINDALCO,307,36.5,1.06,198625.0,64520.64,134104.36,436.82,43247.45,-28429.3,280658.27,0.478
JIOFIN,4,75.0,4.43,123492.5,1007.99,122484.51,30621.13,82228.64,-35726.2,35726.2,0.457
BAJFINANCE,367,36.0,1.04,198525.0,93952.99,104572.01,284.94,34778.65,-31117.82,253042.75,0.413
HDFCLIFE,221,36.2,1.03,144540.0,66223.02,78316.98,354.38,46413.45,-46482.34,243022.51,0.322
CONCOR,274,35.8,1.02,174062.5,88368.2,85694.3,312.75,56883.55,-53593.34,276354.29,0.31
KFINTECH,2,50.0,5.19,12175.0,216.86,11958.14,5979.07,14814.28,-2856.14,2856.14,0.279
HINDZINC,191,36.1,1.04,158515.0,50609.97,107905.03,564.95,56734.67,-54272.5,398299.06,0.271
TORNTPOWER,694,35.3,1.02,232560.0,168896.91,63663.09,91.73,106054.04,-41101.85,246041.46,0.259
HDFCBANK,236,35.2,1.03,88990.0,48609.14,40380.86,171.11,35293.19,-29135.33,156885.11,0.257
ASHOKLEY,14,35.7,1.2,126500.0,4262.64,122237.36,8731.24,149553.87,-75910.06,246075.59,0.232
SHRIRAMFIN,258,35.3,1.03,121852.5,62813.45,59039.05,228.83,50064.45,-37514.76,284038.35,0.208
LICI,109,35.8,1.04,49070.0,17224.85,31845.15,292.16,21178.31,-18376.85,178196.48,0.179
